Fold,Accuracy,F1,AUC-ROC
2,0.8838729137341644,0.8293885664340119,0.8909678877600616
3,0.8802533681882164,0.8241931702569738,0.8887675076878223
4,0.8822642268248542,0.827078531102836,0.8963992107459231
5,0.8820749974866794,0.8268069043264917,0.8935617051153422
6,0.8817733990147784,0.8263740231604468,0.9002689948399837
7,0.8813593404383672,0.8257798181148703,0.883799454363353
8,0.8856826865071386,0.8319892066586386,0.8864270200990771
9,0.8849788859843153,0.830977614085123,0.9078507268691318
10,0.8834824570222177,0.8288277376366426,0.8988489971617898
11,0.8808686035990752,0.825075707385226,0.8861551656221679
12,0.8792479388698975,0.8227514017888024,0.8909559834119556
13,0.884275085461492,0.829966317339931,0.9027042752452449
14,0.8879951739392721,0.8353150895975769,0.886515880720995
0,0.884286719613954,0.8299830321425961,0.91324027112869
1,0.8851915150296572,0.8312832007077784,0.9195005922244067
2,0.8838729137341644,0.8293885664340119,0.9161140796790893
3,0.8803539111200482,0.8244381619255265,0.9151051504214216
4,0.8822642268248542,0.827078531102836,0.9212409098318578
5,0.8820749974866794,0.8268069043264917,0.9203627279000519
6,0.8817733990147784,0.8263740231604468,0.9231588599411945
7,0.8813593404383672,0.8257798181148703,0.9174041558873458
8,0.8856826865071386,0.8319892066586386,0.9113135672290064
9,0.885280514779811,0.831712285727333,0.9150523343391443
10,0.8835829898461848,0.8290728718512159,0.922723128605444
11,0.8808686035990752,0.825075707385226,0.9130064422800028
12,0.8793484818017293,0.8229963413015101,0.9178735654345602
13,0.884275085461492,0.829966317339931,0.9204255735304941
14,0.8879951739392721,0.8353150895975769,0.909716361102438
